",""param"",""conf_lower"",""conf_upper"",""method"",""estimate"""
"1,""rmax"",10.0058599896665,12.3065264753774,""case bootstrap"",11.20858875504"
"2,""topt"",31.6746385392504,34.9017815930522,""case bootstrap"",33.406"
"3,""ctmin"",10.7930828472097,14.7679420961295,""case bootstrap"",13.527"
"4,""ctmax"",43.1823297041388,44.6794227456759,""case bootstrap"",43.644"
"5,""e"",0.65545271784237,0.875573840516143,""case bootstrap"",0.745936308671858"
"6,""q10"",2.48471355226689,2.87596228448677,""case bootstrap"",2.63894137119749"
"7,""thermal_safety_margin"",8.88819458465335,12.1600931912098,""case bootstrap"",10.238"
"8,""thermal_tolerance"",28.5914654719301,32.8281783658588,""case bootstrap"",30.117"
"9,""breadth"",9.57795273749928,11.0884006712103,""case bootstrap"",10.138"
