Column1;model_name;sigma;AIC;delta AIC ;;Weighted AIC ;BIC;df,residual
5;gaussian;3,612468635;648,3540543;0;1;0,149637962;659,4705482;116
13;quadratic;3,624437571;649,1412994;0,787245093;0,674608642;0,100947062;660,2577933;116
3;briere2;3,619121607;649,761659;1,407604687;0,494700701;0,074026005;663,6572764;115
14;ratkowsky;3,621866324;649,9420881;1,588033858;0,45202539;0,067640158;663,8377056;115
20;weibull;3,623438547;650,0453796;1,691325297;0,429272807;0,064235508;663,940997;115
10;modifiedgaussian;3,628007586;650,3453008;1,991246572;0,369493073;0,05529019;664,2409183;115
11;oneill;3,628479286;650,3762427;2,022188424;0,363820665;0,054441383;664,2718602;115
9;lactin2;3,629399266;650,4365786;2,082524311;0,353008849;0,052823525;664,332196;115
12;pawar;3,632862804;650,6635938;2,309539558;0,315130078;0,047155423;664,5592113;115
16;sharpeschoolhigh;3,632862804;650,6635938;2,309539558;0,315130078;0,047155423;664,5592113;115
4;flinn;3,651759347;650,9286653;2,574611024;0,276013497;0,041302097;662,0451593;116
2;boatman;3,63133853;651,524405;3,170350768;0,204911852;0,030662592;668,199146;114
1;beta;3,631468342;651,5329128;3,178858572;0,204042028;0,030532433;668,2076538;114
15;rezende;3,646725576;651,5700582;3,216003934;0,200287395;0,029970598;665,4656757;115
19;thomas2;3,632325606;651,5890898;3,235035556;0,198390538;0,029686756;668,2638308;114
8;kamykowski;3,632366924;651,591797;3,237742776;0,198122176;0,029646599;668,266538;114
7;joehnk;3,634487375;651,7306927;3,376638454;0,18482992;0,027657573;668,4054337;114
18;thomas1;3,651676776;651,8929743;3,538920012;0,170424992;0,025502048;665,7885917;115
17;spain;3,657417649;652,2668449;3,912790655;0,141367086;0,021153883;666,1624624;115
6;hinshelwood;3,65833367;652,3264459;3,97239168;0,137216427;0,020532786;666,2220634;115
;;;648,3540543;;6,682796194;;;
