Column1;model_name;sigma;AIC;delta aic;rel waic;Weighted AIC ;BIC;delta bic;rel wbic;wbic;df,residual
17;thomas2;0,060171988;-382,7422186;0;1;0,332039411;-365,0923641;2,8587631;0,239456969;0,156185004;135
8;kamykowski;0,060174279;-382,7315582;0,010660442;0,994683959;0,330274276;-365,0817036;2,8694236;0,238183999;0,155354714;135
16;thomas1;0,060397984;-382,6593393;0,082879328;0,95940722;0,318561008;-367,9511272;0;1;0,652246643;136
14;sharpeschoolfull;0,06130409;-376,5640197;6,178198886;0,04554295;0,015122054;-355,9725228;11,9786044;0,002505412;0,001634146;134
12;quadratic;0,062551434;-373,824331;8,917887575;0,011574582;0,003843217;-362,0577614;5,8933658;0,05251361;0,034251826;137
2;briere2;0,063765626;-367,4669482;15,27527046;0,000481967;0,000160032;-352,758736;15,1923912;0,000502359;0,000327662;136
18;weibull;0,06907412;-345,0765061;37,6657125;6,62208E-09;2,19879E-09;-330,368294;37,5828332;6,90226E-09;4,50198E-09;136
4;gaussian;0,072815453;-331,2814037;51,4608149;6,69E-12;2,22134E-12;-319,514834;48,4362932;3,03524E-11;1,97972E-11;137
10;oneill;0,073149785;-329,0243703;53,71784834;2,1643E-12;7,18633E-13;-314,3161582;53,634969;2,25587E-12;1,47138E-12;136
1;beta;0,07320805;-327,8346497;54,90756895;1,19391E-12;3,96426E-13;-310,1847951;57,7663321;2,85891E-13;1,86471E-13;135
9;lactin2;0,07846876;-309,3707806;73,37143806;1,16841E-16;3,87958E-17;-294,6625684;73,2885588;1,21784E-16;7,94335E-17;136
11;pawar;0,080294947;-302,9290708;79,81314777;4,66439E-18;1,54876E-18;-288,2208587;79,7302685;4,86174E-18;3,17106E-18;136
7;johnson_lewin;0,082996502;-293,6633741;89,07884454;4,53706E-20;1,50648E-20;-278,955162;88,9959652;4,72903E-20;3,08449E-20;136
3;flinn;0,085773337;-285,4230013;97,31921734;7,36886E-22;2,44675E-22;-273,6564316;94,2946956;3,34324E-21;2,18061E-21;137
13;rezende;0,092516427;-263,2588015;119,4834171;1,13372E-26;3,7644E-27;-248,5505894;119,4005378;1,18169E-26;7,70752E-27;136
5;hinshelwood;0,093645807;-259,8614399;122,8807787;2,07385E-27;6,88601E-28;-245,1532278;122,7978994;2,1616E-27;1,4099E-27;136
15;spain;0,097328726;-249,060574;133,6816446;9,36267E-30;3,10878E-30;-234,3523619;133,5987653;9,75881E-30;6,36515E-30;136
6;joehnk;0,129175059;-168,8329698;213,9092488;3,54974E-47;1,17865E-47;-151,1831152;216,768012;8,5001E-48;5,54416E-48;135
;;;;;;;;;;;
;;;-382,7422186;;3,011690685;;-367,9511272;;1,533162355;;
