Column1;model_name;sigma;AIC;delta aic;rel waic;Weighted AIC;BIC;delta bic;rel wbic;wbic ;df,residual
15;thomas1;0,28593041;52,68262512;0;1;0,382560392;67,39083723;2,32533196;0,312651546;0,226634006;136
11;quadratic;0,287559388;53,29893558;0,616310466;0,734801244;0,281105852;65,06550527;0;1;0,724877291;137
16;thomas2;0,287018121;54,71253997;2,029914855;0,362417859;0,138646718;72,36239451;7,29688924;0,026031586;0,018869706;135
7;kamykowski;0,287111795;54,80390884;2,121283723;0,346233505;0,132455225;72,45376338;7,38825811;0,024869104;0,018027049;135
13;sharpeschoolfull;0,287881457;56,51260448;3,829979367;0,147343353;0,056367731;77,10410144;12,03859617;0,002431376;0,001762449;134
17;weibull;0,294841553;61,27572518;8,593100063;0,013615451;0,005208732;75,98393729;10,91843202;0,004256892;0,003085724;136
4;gaussian;0,297519557;62,83309086;10,15046574;0,006249631;0,002390861;74,59966055;9,53415528;0,008505199;0,006165226;137
9;oneill;0,298598362;64,82088814;12,13826303;0,002313181;0,000884932;79,52910026;14,46359499;0,00072322;0,000524246;136
1;beta;0,299406741;66,54467689;13,86205178;0,000976998;0,000373761;84,19453143;19,12902616;7,01754E-05;5,08685E-05;135
2;briere2;0,310053853;75,36193683;22,67931171;1,18919E-05;4,54936E-06;90,07014894;25,00464367;3,71801E-06;2,6951E-06;136
8;lactin2;0,313825401;78,74735512;26,06473;2,18835E-06;8,37174E-07;93,45556723;28,39006196;6,84189E-07;4,95953E-07;136
10;pawar;0,315456208;80,19861981;27,51599469;1,0592E-06;4,05208E-07;94,90683192;29,84132665;3,3116E-07;2,40051E-07;136
6;johnson_lewin;0,326473167;89,8104295;37,12780438;8,66562E-09;3,31512E-09;104,5186416;39,45313633;2,70932E-09;1,96392E-09;136
3;flinn;0,330616547;92,3672878;39,68466269;2,41315E-09;9,23177E-10;104,1338575;39,06835223;3,28409E-09;2,38056E-09;137
12;rezende;0,342099202;102,9012688;50,21864371;1,24497E-11;4,76278E-12;117,6094809;52,54397563;3,89243E-12;2,82153E-12;136
5;hinshelwood;0,343115852;103,7321384;51,04951329;8,21749E-12;3,14369E-12;118,4403505;53,37484523;2,56921E-12;1,86236E-12;136
14;spain;0,349700698;109,0547952;56,37217008;5,74036E-13;2,19603E-13;123,7630073;58,69750203;1,79473E-13;1,30096E-13;136
;;;;;;;;;;;
;;;52,68262512;;2,613966372;;65,06550527;;1,379543837;;
