Temp;Distance_travelled
13;49.49012
13;6.931811
13;0.0
13;0.0
13;0.0
13;129.4681
13;0.0
13;0.0
13;5.5763
13;106.6291
13;8.62949
13;2.2921
13;87.39297
13;7.858973
13;8.457245
13;43.578336
13;87.74455
13;0.0
13;77.5438
13;119.9977
18;1590.861
18;1287.858
18;207.1624
18;634.2604
18;1338.587
18;484.5801
18;1422.492
18;2172.034
18;1660.952
18;3663.228
18;70.70725
18;542.2205
18;292.052
18;1543.693
18;784.5944
18;453.8265
18;63.7339
18;0.0
18;1059.023
18;395.5877
23;1000.232
23;1016.483
23;736.5313
23;5414.175
23;707.5916
23;8883.782
23;2419.161
23;1505.573
23;633.5582
23;893.7014
23;3346.999
23;1338.932
23;922.2354
23;753.8834
23;676.7652
23;2055.652
23;1112.264
23;2001.672
23;2414.978
23;1929.937
28;6881.4392
28;3458.949
28;4276.74929
28;4314.752
28;1224.70276
28;2778.861
28;767.5419
28;2243.516
28;3392.986
28;3392.986
28;46.28968
28;3133.721
28;4055.312
28;2412.683
28;2409.106
28;3667.405
28;1060.792
28;3395.907
28;4014.361
28;3459.329
33;1790.7991
33;6131.509
33;5234.941
33;3144.271
33;3411.007
33;4892.657
33;2834.339
33;3920.873
33;3259.009
33;3272.475
33;2259.625
33;574.522
33;1323.621
33;4811.854
33;1663.771
33;5634.651
33;2551.725
33;1005.717
33;4151.66
33;3083.918
38;566.2773
38;1376.154
38;1395.283
38;561.4863
38;2153.793
38;596.5386
38;1387.071
38;1463.665
38;1588.344
38;1582.431
38;1650.452
38;1007.728
38;2277.564
38;4023.969
38;2772.9824
38;5115.478
38;1235.179
38;1551.391
38;1338.932
38;2151.2805
