Temp;Max_speed
13;5.48671
13;0.8902169
13;0.0000000000000489314
13;0.7326596
13;0.0000000000000451126
13;2.464263
13;6.876876
13;0.000000000000030947
13;0.1970631
13;13.24116
13;0.3946889
13;0.866576
13;9.437311
13;1.417704
13;0.2937847
13;0.7078311
13;14.89495
13;0.0000000000000882124
13;0.4918717
13;0.9377843
18;2.437311
18;1.99322
18;1.964936
18;1.484691
18;14.63682
18;2.677098
18;2.655614
18;4.24469
18;2.918861
18;6.053235
18;1.14987
18;1.641235
18;1.294779
18;2.689508
18;2.184157
18;11.43692
18;1.211069
18;0.3846397
18;2.167765
18;1.872814
23;5.589062
23;3.273496
23;6.930662
23;12.29705
23;4.842807
23;14.51076
23;2.863829
23;4.630223
23;1.688964
23;15.40076
23;3.734956
23;3.083188
23;3.805967
23;6.044838
23;4.369903
23;4.369903
23;5.954356
23;2.812456
23;3.3824
23;8.948875
28;16.34125
28;6.455884
28;15.42199
28;12.33106
28;13.66296
28;7.229152
28;7.501769
28;12.05725
28;7.602393
28;9.324489
28;4.041814
28;5.2596
28;5.986932
28;4.694464
28;6.348361
28;10.03301
28;7.519966
28;8.650379
28;7.02357
28;5.266562
33;18.34881
33;11.60973
33;11.39661
33;5.001641
33;9.147222
33;13.80924
33;6.496592
33;9.553769
33;10.70964
33;12.62266
33;9.886935
33;2.661516
33;9.08803
33;14.34979
33;6.661654
33;14.30367
33;10.95235
33;8.024433
33;9.857871
33;5.691762
38;2.791528
38;5.784754
38;10.45314
38;7.679581
38;6.479677
38;5.469365
38;10.86823
38;9.164359
38;10.92087
38;11.70549
38;7.284505
38;9.379262
38;13.02741
38;12.15227
38;12.45673
38;9.138741
38;6.3369
38;6.242679
38;10.97413
38;15.31639
