Temp;Spread_rate
13;0
13;0
13;0
13;6.0604992
13;0
13;0
13;0
13;0
13;0
13;0
13;0
13;0
13;0
13;0
13;0
13;0
13;0
13;0
13;0
13;0
18;2737.997856
18;1443.559968
18;1822.817088
18;0
18;1098.723744
18;2119.042512
18;2649.16872
18;334.79028
18;1201.523328
18;0
18;3276.779616
18;3384.03744
18;2459.39112
18;2829.434544
18;1441.150704
18;2219.693328
18;1592.45352
18;1829.430576
18;1848.813984
18;1171.93176
23;6567.2064
23;9558.8592
23;8308.5024
23;8403.4944
23;14533.1952
23;24662.9232
23;14262.3504
23;20225.064
23;8369.9856
23;1083.75168
23;1581.5256
23;6184.06848
23;2955.51648
23;11.2142208
23;8000.544
23;2289.87696
23;6853.0704
23;4630.00848
23;7897.9104
23;7157.1264
28;6889.5744
28;34554.192
28;16704.5136
28;50352.22272
28;22101
28;38742.57456
28;9437.3136
28;26760.9168
28;4534.8912
28;9504.6048
28;10411.41648
28;13589.1888
28;13991.6736
28;18998.5391999999
28;16571.5968
28;11249.3808
28;16387.8528
28;13266.8592
28;11124.072
28;14802.456
33;18465.6144
33;33797.4288
33;14248.128
33;11165.7504
33;22162.248
33;8572.416
33;10627.8192
33;15463.272
33;17423.6496
33;11491.7808
33;13009.5072
33;9928.0992
33;12496.3152
33;27473.088
33;16680.288
33;23735.3232
33;449.103792
33;20251.1616
33;8444.4576
33;16476.1008
38;0
38;6375.99264
38;1663.58376
38;8565.99192
38;2315.756784
38;4671.78384
38;1998.967656
38;11720.21688
38;7231.2936
38;6543.54072
38;3011.07288
38;7522.00272
38;7095.01344
38;10927.52016
38;4497.330552
38;7841.36232
38;6580.42656
38;8863.5456
38;6559.674
38;5419.181976
